from_page_url,name,url,money,des,content,label,mark
https://www.zbj.com/xq/sjclrj/r4/?kw,想做个FU彩3D的排除器软件,https://www.zbj.com/xq/E6SwpW6BP9EQvsLS.html,200元,数据处理软件开发,"预算低，能做的联系，懂3D的更好 看图片先了解一下
",人工服务 源码交付 数据报告软件 C C++ Java Ruby JavaScript,进行中 2024-03-13
https://www.zbj.com/xq/sjclrj/r4/?kw,串口液晶屏的开发,https://www.zbj.com/xq/zFf5znemmdVS6Dzq.html,待服务商报价,数据处理软件开发,根据我们给出的界面在液晶屏上面做出相对应的显示内容以及跟我们的主控板进行交互,其他,进行中 2024-03-13
https://www.zbj.com/xq/sjclrj/r4/?kw,根据指定需求,https://www.zbj.com/xq/Wc36If2aE0XjY388.html,8000元,数据处理软件开发,根据指定需求实现具体功能,定制开发 源码交付,进行中 2024-03-13
https://www.zbj.com/xq/sjclrj/r4/?kw,数据处理软件开发,https://www.zbj.com/xq/80K1d33VONbsIxH0.html,待服务商报价,数据处理软件开发,电商上架过程中 插件识别SKU价格是否符合设定的规则要求 进行提示,,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,python开发,https://www.zbj.com/xq/7kvEIm3CctzJFHcy.html,待服务商报价,数据处理软件开发,python获取 抖音和小红书内容 详情看需求图片,Python 源码交付,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,数据处理软件开发,https://www.zbj.com/xq/TWOuFkLADHKmRr0W.html,待服务商报价,数据处理软件开发,• 应用场景：专业技术领域的计算软件开发 已具备初始内容，需要对不同设备上尺寸、分辨率、屏幕放大比例上进行调整。要求使用PyQt5实现。,Python SQLite 二次开发 源码交付,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,通过第三方软件生成NC6.5中的库存单据,https://www.zbj.com/xq/sFfVkRvNPOdVrvVA.html,待服务商报价,数据处理软件开发,销售出库单生成，采购入库单生成，盘点单生成，材料出库单生成,,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,IT/软件,https://www.zbj.com/xq/CQWe29vvX7wxBaTt.html,待服务商报价,数据处理软件开发,需求专业数据处理软件开发团队,流处理 混合处理 MySQL 定制开发 人工服务 源码交付 其他,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,网关api开发,https://www.zbj.com/xq/h8bfq00IcojWcwg0.html,待服务商报价,数据处理软件开发,主要是api网关与认证系统集成，个人均可，要是怼代码时间长的，全职人员,,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,智能数据识别录入自动化,https://www.zbj.com/xq/CrWYNdoESFcSc4eW.html,待服务商报价,数据处理软件开发,图数据识别，智能录入。,混合处理 定制开发 成品购买 人工服务 统计报告软件,进行中 2024-03-12发布
https://www.zbj.com/xq/sjclrj/r4/?kw,C#把graphics画的图生成byte,https://www.zbj.com/xq/vZ5D3O9KYKk0GvhI.html,80元,数据处理软件开发,返回一个byte数组，只要写出方法就行下面是要求,C#,进行中 2024-03-11发布
https://www.zbj.com/xq/sjclrj/r4/?kw,DeLphi与C++互传数据,https://www.zbj.com/xq/oaTghsBUYVPkaUhK.html,300元,数据处理软件开发,DeLphi与C++互传数据，Vs2019，DeLphi7互传数据,,进行中 2024-03-11发布
https://www.zbj.com/xq/sjclrj/r4/?kw,PostgreSQL数据库慢查询,https://www.zbj.com/xq/BtA2PgQDr508zkTX.html,待服务商报价,数据处理软件开发,PostgreSQL数据库慢查询优化 现有PostgreSQL数据库慢查询超时需要优化。 项目已上线，属于运维阶段。,PostgreSQL 人工服务,进行中 2024-03-11发布
https://www.zbj.com/xq/sjclrj/r4/?kw,网页关键字,https://www.zbj.com/xq/mtQhamTrfE73CzQF.html,500元,数据处理软件开发,关键字pq，不是很复杂的小东西,批处理 数据报告软件,进行中 2024-03-11发布
https://www.zbj.com/xq/sjclrj/r4/?kw,能自动的输入信息自动购票,https://www.zbj.com/xq/RtsXzbuaEX7QI1wo.html,待服务商报价,数据处理软件开发,博物馆购票脚本，能自动填选，自动购票,MySQL,进行中 2024-03-11发布
https://www.zbj.com/xq/sjclrj/r4/?kw,指导对接嬴通A5数据库软件！,https://www.zbj.com/xq/ZnsWVQdp3VgD7ZqT.html,待服务商报价,数据处理软件开发,指导对接嬴通A5数据库软件！ 只需要指导说明一下就可以了！他有存储过程我们来调用！ 销售出库 入库 盘点 这些逻辑,批处理 混合处理 其他 SQL Server 二次开发 人工服务,进行中 2024-03-10发布
https://www.zbj.com/xq/sjclrj/r4/?kw,数据处理软件开发,https://www.zbj.com/xq/50luUc8yEKFowj0i.html,待服务商报价,数据处理软件开发,基于EXCEL的BOM表和生产入库单，生成材料出库单，并生成进销存台账,,进行中 2024-03-10发布
https://www.zbj.com/xq/sjclrj/r4/?kw,three js 模拟真实照片,https://www.zbj.com/xq/JIjdJcyHlzviOidx.html,待服务商报价,数据处理软件开发,我有软件能合成外卖单图片，用外卖单图片放到桌面背景上 在外面图片上放一个遮挡物遮挡住外卖单编号，做的时候要考虑光线，纸张阴影，褶皱，等要真实要看起来像真实的照片,定制开发 JavaScript three,进行中 2024-03-10发布
https://www.zbj.com/xq/sjclrj/r4/?kw,做个数据模型,https://www.zbj.com/xq/qUxJzVNLJ4IPtNyQ.html,600元,数据处理软件开发,题目：小明每天早餐只吃汉堡、披萨和热狗中的一种（喜欢程度分别是43%、26%和30%），具体吃哪一种取决于昨天吃的是什么，例如：如果昨天吃的是汉堡，那么今天吃披萨或热狗的概率就会增加（具体增加多少他也不能准确说不出来，要过几天才能回复对汉堡的喜爱他也描述不了），现在有他几年内每天吃早餐的记录，并且这个纪录符合马尔科夫链的收敛要求，想请您帮忙建立一个数据模型能够预测出接明天、后天而至今后他每天吃早餐时选择汉堡、披萨和热狗的概率分别是多少？,成品购买 统计报告软件 数据报告软件,进行中 2024-03-09发布
https://www.zbj.com/xq/sjclrj/r4/?kw,自动化软件,https://www.zbj.com/xq/Y96b2bFK0i6Yku5O.html,1400元,数据处理软件开发,很简单，原来用易语言写的，像平台的高手应该手拿把掐吧，联系我详谈,批处理,进行中 2024-03-09发布
https://www.zbj.com/xq/sjclrj/r4/?kw,数据开发,https://www.zbj.com/xq/03OBWALuzTo3iwi9.html,待服务商报价,数据处理软件开发,本人8个月数据开发经验,,进行中 2024-03-08发布
https://www.zbj.com/xq/sjclrj/r4/?kw,python动态调用IP地址api,https://www.zbj.com/xq/aA4uDKJk86yT5GVl.html,待服务商报价,数据处理软件开发,python写ip2world住宅IP地址的调用，接入API调用,Python,进行中 2024-03-08发布
https://www.zbj.com/xq/sjclrj/r4/?kw,船体显示系统,https://www.zbj.com/xq/ettNSr1ut7xpAfNg.html,20000元,数据处理软件开发武汉,通过业务数据服务接口，显示业务数据,定制开发 源码交付 票据收发软件 数据报告软件,进行中 2024-03-08发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,数据处理软件开发,https://www.zbj.com/xq/wRpRSqX8sdjSqmbG.html,待服务商报价,数据处理软件开发,监控境外网站同行宝贝大批量同一个标题,批处理 混合处理 定制开发 源码交付 成品购买 成品租赁（Saas） 其他 数据报告软件 统计报告软件,进行中 2024-03-02发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,做一个按面积计算价格的小软件开发,https://www.zbj.com/xq/OVjQudmJbGo1ovki.html,待服务商报价,数据处理软件开发,按面积计算尺寸价格的桌面软件,定制开发,已完结 2024-03-02发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,广告数据分发系统,https://www.zbj.com/xq/CTliVuMep2HU5RtC.html,待服务商报价,数据处理软件开发,广告数据分发系统-主要处理 媒体 客户 城市 产品,混合处理 批处理 定制开发 源码交付 数据报告软件,进行中 2024-03-02发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,根据二维数据，识别问题类型,https://www.zbj.com/xq/IKoPJaAinlEv6llQ.html,待服务商报价,数据处理软件开发,1、选择合适的AI模型 2、提供训练方法 3、最终效果演示,批处理 人工服务 源码交付,进行中 2024-03-01发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,Windows系统与外接设备数据通信,https://www.zbj.com/xq/eHg8piYXfmDchY7R.html,待服务商报价,数据处理软件开发,c++ usb通信功能 需求： 	1.找到指定的usb设备； 	2.监听usb设备的插拔事件； 	3.支持pc<------>device 双向通信：设备可以收到usb的消息，设备也可以主动向usb发送消息； 	4.代码需要编译为.node文件； 	5.或者协助把代码迁移到我们的C++项目内，我们自行编译.node文件,C++ JavaScript 模版开发,进行中 2024-03-01发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,报告自动化生成系统,https://www.zbj.com/xq/caa0xlJSRoUTeBi1.html,待服务商报价,数据处理软件开发,一套报告自动化生成系统（B/S架构） 1、支持设置模版 2、支持文档网页在线编辑（主要包括有word等） 3、支持文档的权限管理 4、源代码交付 5、客户端多为winows（office、wps）,源码交付 成品购买,进行中 2024-03-01发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,api对接,https://www.zbj.com/xq/XpIi6za1Spsmtqbj.html,待服务商报价,数据处理软件开发,"1.短信平台接收到用户回复短信,获取第一次回复的时间传到oa系统A表单的A字段,第二次传到A表单的B字段. 2.oa系统中系统用户表单有新增数据,把姓名,工号,照片(需要base64处理),传到考勤机.",php Python,进行中 2024-03-01发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,数据处理软件开发,https://www.zbj.com/xq/nmTyUyvGDRDBCh0B.html,100元,数据处理软件开发,• 应用场景：dy.,,进行中 2024-02-29发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,图片转URL链接(对接阿里云对象存储 ),https://www.zbj.com/xq/rlquGkHg8envpGF5.html,1500元,数据处理软件开发,"PC端/对接我的阿里云对象存储 OSS 1.需要一个页面,将我提交的图片转成URL链接,和阿里云对接. 每张上传的图片采取自动命名,防止重复. 2.需要有多人使用,每个人只能看到自己提交的图片链接,要可以批量上传图片的,一次性的. 3.需要有后台管理系统,只有一个人能看到,目的是查看后台图片库,进行删除. 4.需要对使用人做个监督,用任何方式更改即可让某一个人无法使用图片进行上传产品",,已完结 2024-02-29发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,企业级数据中台,https://www.zbj.com/xq/Z3L2crXlCUwCxCuN.html,100000元,数据处理软件开发,构建一套集采集、治理、开发、分析、发布等各类数据处理功能为一体的数据融合平台，汇集企业生产数据、互联网数据等各类数据资源，利用数据治理工具将其进一步转化为数据资产，为各类应用提供数据挖掘、数据分析等数据服务。API服务接口方式对外提供数据共享服务。,混合处理 Java MySQL 其他 源码交付 其他,进行中 2024-02-29发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,基于SuperMap的自然资源管理系统,https://www.zbj.com/xq/u2rkdiMhFGFYlxFV.html,待服务商报价,数据处理软件开发,参考效果：参照自然资源管理系统,JavaScript CSS SQL Server,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,模型格式LAS转3Dtiles转换工具,https://www.zbj.com/xq/MgYNA3oSwYyXq1VX.html,待服务商报价,数据处理软件开发,1、需要开发一个转换工具，将激光点云模型（格式.las）转换为3D Tiles标准格式（格式.b3dm）。 2、转换后的3Dtiles支持LOD分层保证良好的加载性能。 3、开发语言最好为C++，也可以为其他语言，最后软件需要打包为.exe。 4、软件需要支持用cmd命令行执行转换任务，调用exe 加 转换文件路径和输出路径 可以执行转换。 5、转换过程中的进度需要在输出目录写入到txt文件中，显示转换进度百分比，以及约定好异常报错信息和错误码。,C++,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,数据曲线动态图模拟器,https://www.zbj.com/xq/RViycrdSkQpqJ9XN.html,待服务商报价,数据处理软件开发,• 应用场景：淘宝运营教学，模拟生意参谋 • 参考效果：如下面图 • 需服务商提供：源码,混合处理 Java 定制开发 源码交付 数据报告软件,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,开发一个设备云维系统,https://www.zbj.com/xq/OsJzwGFfmlUFaciX.html,待服务商报价,数据处理软件开发,开发一个设备云维系统1,Java MySQL 源码交付,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,制作Excel表格自动计算求和,https://www.zbj.com/xq/QdTKiD2S44czzYYQ.html,待服务商报价,数据处理软件开发,将表格复制到制作好的表格内自动计算出结；包含：品名、规格、件数 ；计算出重量、体积,定制开发,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,数据统计工具软件开发,https://www.zbj.com/xq/f5LTjzNMxIJlCwhx.html,待服务商报价,数据处理软件开发,3-7位数数据统计工具,定制开发 统计报告软件,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,sm2算法VB6代码,https://www.zbj.com/xq/roxWMtU16AM0WD1x.html,1000元,数据处理软件开发中山,给源代码在网上下载一个国密工具验证结果是一样的就可以了。,其他 定制开发 其他,进行中 2024-02-28发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,引用sqlite3.dll 中的函数制作,https://www.zbj.com/xq/Jt2uPuu9M2BpMrao.html,200元,数据处理软件开发,1.通过sqlite3.dll 打开带密码的数据库 2.根据DLL文件的函数，用python操作sqlite 3.实现查，增，改，删，导出数据到表,Python SQLite 源码交付 其他,进行中 2024-02-27发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,抖店订单自动备注抖音昵称,https://www.zbj.com/xq/kKFChUiHHeys5gPj.html,1000元,数据处理软件开发,抖店订单自动备注抖音昵称。，,,进行中 2024-02-27发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,需要开发一个桌面应用程序,https://www.zbj.com/xq/Wv9duOXfCGx4Slqf.html,10000元,数据处理软件开发,需求一个桌面应用程序，用于辅助生产，提高工作效率。要求对快手有所了解，核心功能点需要获取到账号粉丝数。,批处理 C# Java 定制开发 源码交付 成品购买 其他,进行中 2024-02-27发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,用python抓取js动态数据,https://www.zbj.com/xq/l7LVy1eJZBA8XwAk.html,500元,数据处理软件开发,• 参考效果：需要把页面的数据都抓取出来 • 应用场景：看图片的返回js动态数据 • 需服务商提供：源码,Python,进行中 2024-02-27发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,前端数据导入导出开发,https://www.zbj.com/xq/BHyVBIT5Fyc0ATtc.html,120元,数据处理软件开发,由于功能升级，需要在原有的基础上开发数据导入导出的功能，就一个页面,,进行中 2024-02-27发布
https://www.zbj.com/xq/sjclrj/r4p3/?kw&osStr,生成银河麒麟环境的tensorflow库,https://www.zbj.com/xq/bBd9KPm4EVm05bQv.html,500元,数据处理软件开发,"1）银河麒麟环境为V10版本，操作系统可以在官网上下载实用版本,kylinos.cn 2）tensorflow版本为2.3",Python,进行中 2024-02-27发布
https://www.zbj.com/xq/sjclrj/r4p2/?kw&osStr,Dolphine软件数据解析,https://www.zbj.com/xq/L9Nidccqs9QXddJM.html,10000元,数据处理软件开发,1.dolphin数据迁移，解析dolphin数据库结构和图像文件，迁移dolphin的dolphin数据和图像 2.dolphin头侧图像的定点数据解析,,进行中 2024-03-08发布
https://www.zbj.com/xq/sjclrj/r4p2/?kw&osStr,工具对指定的地点进行采集,https://www.zbj.com/xq/sW9Y8THRcjL5GZr7.html,待服务商报价,数据处理软件开发,现有脚本工具，但是想在现有工具上进行升级,源码交付 成品购买 人工服务,进行中 2024-03-08发布
https://www.zbj.com/xq/sjclrj/r4p2/?kw&osStr,matlab遗传算法 最优路径找代做,https://www.zbj.com/xq/WjqPm76RgqiwjsXa.html,待服务商报价,数据处理软件开发,找代做，修改代码，提供数据,,进行中 2024-03-08发布
https://www.zbj.com/xq/sjclrj/r4p2/?kw&osStr,工具软件数字统计1-49个数字按余数分析,https://www.zbj.com/xq/sl1N7VbuypDrKsVi.html,待服务商报价,数据处理软件开发广州,工具软件根据随机产生的1-49个数字，进行余数分类，,统计报告软件 成品购买 定制开发 混合处理,已完结 2024-03-07发布
https://www.zbj.com/xq/sjclrj/r4p2/?kw&osStr,数据处理软件开发,https://www.zbj.com/xq/o7thQLOHi6gejULl.html,300元,数据处理软件开发,• 应用场景：excel,Python 批处理,进行中 2024-03-07发布
